"TOWN","ADDR","ADDR_ORI","X","Y","LAT","LONG"
"三民區","鼎中路６６８號","高雄市三民區鼎中路668號1樓、2樓","180309.238","2508289.029","22.67350421388191","120.32180297572293"
"三民區","九如一路２７８號","高雄市三民區九如一路278號","181681.198","2504364.908","22.63812335353644","120.33532417641243"
"三民區","大昌二路１４６號","高雄市三民區大昌二路146號","181384.216","2505052.403","22.64431979395666","120.33240497799238"
"三民區","明誠一路３６０號","高雄市三民區明誠一路360號1樓","180537.051","2506807.884","22.66013813126333","120.32408535124651"
"三民區","建工路７３６號","高雄市三民區建工路736號1樓","180050.143","2505533.811","22.648612574931605","120.31940443291543"
"三民區","大昌二路５２５號","高雄市三民區大昌二路525號1樓","181160.675","2505825.953","22.65129627839938","120.33019627793405"
"三民區","義華路９２號","高雄市三民區本揚里義華路92號1樓","182464.161","2504861.915","22.642642991297553","120.34291991493356"
"三民區","九如一路６０９號","高雄市三民區九如一路609號1樓","180650.64","2504490.278","22.63921363836494","120.32529284619129"
"三民區","覺民路６１７號","高雄市三民區寶安里覺民路617號1樓","180971.482","2504681.545","22.640953982629178","120.328405789921"
"三民區","自強一路２４５號","高雄市三民區自強一路245號1樓","177124.15","2504133.93","22.635847625043123","120.29100174027211"
"三民區","明仁路５３號","高雄市三民區明仁路53號2樓及55、57、59號1、2樓","179517.04","2506948.314","22.66136410672583","120.31415429548736"
"三民區","鼎力路２４３號","高雄市三民區鼎力路243號","180450.843","2507741.012","22.668561188310015","120.3232052143444"
"三民區","褒揚街２８５號","高雄市三民區寶國里褒揚街285號","182152.436","2504659.912","22.640806337205678","120.33989590315556"
"三民區","覺民路６１７號","高雄市三民區寶安里覺民路617號1樓","180971.482","2504681.545","22.640953982629178","120.328405789921"
"三民區","鼎泰街２３２號","高雄市三民區鼎泰街232號1樓","179981.041","2507432.054","22.66575177151123","120.31864751650983"
"三民區","博愛一路２２９號","高雄市三民區博愛一路229號1樓","178362.32","2505487.13","22.648120460055853","120.30298536512316"
"三民區","陽明路３００號","高雄市三民區本揚里陽明路300號","182413.558","2504938.918","22.64333635184347","120.34242429511198"
"三民區","有光路４３號","高雄市三民區寶獅里有光路43號及克武路68、70號","181552.567","2504226.849","22.6368714149813","120.3340787948675"
"三民區","九如一路２７８號","高雄市三民區九如一路278號","181681.198","2504364.908","22.63812335353644","120.33532417641243"
"三民區","十全一路１６１號","高雄市三民區德智里十全一路161號","179000.008","2505122.951","22.644858607023227","120.30920599252703"
"三民區","九如一路４４６號","高雄市三民區九如一路446號1樓","181104.656","2504471.915","22.63906633555987","120.32971058657745"
"三民區","民族一路９８號","高雄市三民區安吉里民族一路98號1樓","179587.46","2504993.24","22.643711778130534","120.31492709757111"
"三民區","莊敬路２８９號","高雄市三民區莊敬路289號","179954.284","2505650.958","22.649666507440262","120.31846657720286"
"三民區","鼎山街６８４號","高雄市三民區鼎復里鼎山街684號1樓","179687.61","2505628.618","22.64945371358045","120.31587302395181"
"三民區","九如二路４４６號","高雄市三民區精華里九如二路446號1樓","178013.131","2504773.949","22.641665298328203","120.2996207062619"
"三民區","自由一路１０５號","高雄市三民區德智里自由一路105號1樓","178929.063","2505006.297","22.643802189913895","120.30852104588062"
"三民區","正興路３號","高雄市三民區寶龍里正興路3號1樓","180419.424","2505235.151","22.645930739396587","120.32301047727942"
"三民區","熱河二街１７號","高雄市三民區熱河二街17號1樓","178246.351","2505021.954","22.64391479478805","120.3018783171378"
"三民區","中華三路２５６號","高雄市三民區興德里中華三路256號1樓","177413.879","2504072.934","22.6353092396336","120.29382312044083"
"三民區","大豐一路１５１號","高雄市三民區大豐一路151號1樓、2樓及153號1樓、2樓","181229.287","2506469.97","22.65711486851789","120.33083564662307"
"三民區","十全二路１２２號","高雄市三民區安邦里十全二路122號1樓","178024.537","2505241.962","22.645892156914922","120.2997102453678"
"三民區","黃興路１６５號","高雄市三民區本上里黃興路165號1樓","182220.348","2505322.93","22.646796466002158","120.34052801562211"
"三民區","復興一路１７６號","高雄市三民區復興一路176號1樓","178957.29","2504280.92","22.637252868912427","120.30882843562459"
"三民區","建國二路２３３號","高雄市三民區建國二路233號1樓","178563.88","2504296.09","22.63737331942612","120.30500049293047"
"三民區","建國一路４１７號","高雄市三民區建國一路417號1樓","179797.554","2503973.912","22.63451545684867","120.3170165830241"
"三民區","覺民路５７９號","高雄市三民區覺民路579號1樓","181089.157","2504650.921","22.64068222307656","120.32955195866305"
"三民區","十全一路７４號","高雄市三民區十全一路74號1樓","179274.128","2505144.949","22.645068729027972","120.31187190361655"
"三民區","九如二路７８號","高雄市三民區德仁里九如二路78號1樓","179199.518","2504675.937","22.640830205582745","120.31116714592943"
"三民區","大昌二路５２２號","高雄市三民區大昌二路522號1樓","181194.078","2505854.953","22.651559521055283","120.33052000089054"
"三民區","正忠路２２２號","高雄市三民區正忠路222號1樓","181175.769","2505189.935","22.645553321702284","120.33037098483831"
"三民區","河北二路１１０號","高雄市三民區河北二路110號1樓","177759.98","2504187.45","22.636358163533785","120.29718481788069"
"三民區","大昌一路６號","高雄市三民區大昌一路6號1樓","180998.73","2506007.93","22.652933030910404","120.3286126522428"
"三民區","建興路５１號","高雄市三民區建興路51號、53號1樓","181143.813","2504802.003","22.642048795048346","120.33007707421427"
"三民區","察哈爾一街１４８號","高雄市三民區安和里察哈爾一街148號1樓","178440.66","2505442.76","22.64772309065164","120.30374956824198"
"三民區","文濱路２２號","高雄市三民區寶業里文濱路22號1樓","183030.163","2504428.389","22.63875048317802","120.34844493807799"
"三民區","皓東路１９３號","高雄市三民區本武里皓東路193號1樓","181599.544","2505640.453","22.64963890386799","120.33447430635675"
"三民區","力行路１３１號","高雄市三民區千秋里力行路131號1樓","176762.734","2504386.948","22.638116907393254","120.28747400428684"
"三民區","建元路５８號","高雄市三民區正興里建元路58號1樓","179863.974","2505330.95","22.64677293947307","120.31760220322691"
"三民區","明誠一路６９０號","高雄市三民區鼎泰里明誠一路690號1樓","180015.138","2506817.533","22.660203764029486","120.31900668089901"
"三民區","鼎貴路１５１號","高雄市三民區鼎盛里鼎貴路151號1樓","180456.831","2508337.916","22.67395176199404","120.32323703662237"
"三民區","黃興路１５１號","高雄市三民區本上里黃興路151號1樓","182233.049","2505309.93","22.646679577331703","120.34065214601853"
"三民區","河堤路５１０號","高雄市三民區鼎泰里河堤路510號1樓","179479.367","2507383.01","22.665288045337846","120.31376821210817"
"三民區","大福街２１１號","高雄市三民區本和里大福街211號1樓","180733.751","2506533.976","22.65767266841288","120.326011332316"
"三民區","覺民路３３８號","高雄市三民區寶德里覺民路338號1樓","181665.75","2504632.079","22.640535427451468","120.33516228016339"
"三民區","覺民路２３８號","高雄市三民區覺民路238號1樓","182057.928","2504555.91","22.63986335502273","120.33898095446655"
"三民區","九如一路５３３號","高雄市三民區寶盛里九如一路533號1樓","180818.447","2504467.768","22.639017222388777","120.3269263615792"
"三民區","九如二路７６號","高雄市三民區同德里九如二路76號1樓","179227.39","2504672.06","22.64079635907934","120.31143847795367"
"三民區","明吉路９號","高雄市三民區鼎泰里明吉路9號1樓","179416.758","2507003","22.661853767191076","120.31317608166103"
"三民區","吉林街２７１號","高雄市三民區安東里吉林街271號1樓","178726.992","2505529.964","22.648522659413814","120.30653137923035"
"三民區","正忠路２４６號","高雄市三民區寶珠里正忠路246號1樓","181170.013","2505317.406","22.64670421692288","120.33030940288981"
"三民區","民族一路５４３巷２５號","高雄市三民區鼎泰里民族一路543巷25號1樓","179637.68","2507494.012","22.66629703644541","120.31530368699805"
"三民區","建國三路１６９號","高雄市三民區建東里建國三路169號1樓","177855.685","2504330.439","22.637653498779933","120.29810930836554"
"三民區","民族一路９４號","高雄市三民區安吉里民族一路94號1樓、2樓、96號1樓","179587.46","2504993.24","22.643711778130534","120.31492709757111"
"三民區","建國三路３３號","高雄市三民區港西里建國三路33號1樓","178182.439","2504320.935","22.637581555606","120.30128854381078"
"三民區","鼎金後路４３２號","高雄市三民區鼎強里鼎金後路432號1樓","180590","2508039.39","22.67126140040067","120.32454610973274"
"三民區","大豐二路４８９號","高雄市三民區本武里大豐二路489號1樓","181569.407","2505666.527","22.64987314797646","120.33417995798672"
"三民區","鼎中路１６０號","高雄市三民區鼎中里鼎中路160號1樓","180059.164","2507021.693","22.662049247020857","120.31942596467682"
"三民區","建國三路２８５號","高雄市三民區建國三路285號1樓","177556.592","2504296.939","22.637338215875392","120.29520115016126"
"三民區","大裕路１１９號","高雄市三民區本和里大裕路119號1樓","180986.487","2506363.372","22.656142352639048","120.32847792060822"
"三民區","九如二路８６號","高雄市三民區德仁里九如二路86號1樓","179184.66","2504676.56","22.640835210511003","120.31102256928257"
"三民區","力行路２４８號","高雄市三民區力行路248號1樓","176659.77","2504397.2","22.63820503340518","120.28647184820439"
"三民區","鼎貴路１４６號","高雄市三民區鼎貴路146號1樓","180498.789","2508351.836","22.67407919099022","120.32364471476973"
"三民區","民族一路９００號","高雄市三民區民族一路900號1樓","179925.806","2507910.021","22.67006575163421","120.31808872236134"
"三民區","建國三路３６號","高雄市三民區建國三路36號1樓","178114.05","2504370.07","22.638022367459907","120.30062098089408"
"三民區","天祥一路８８號","高雄市三民區天祥一路88號1樓","180224.758","2507616.663","22.667428947566094","120.32101078744539"
"三民區","建國二路３２０號","高雄市三民區建國二路320號地下1樓","178308.32","2504400.89","22.63830891853315","120.3025095225863"
"三民區","九如二路７８號","高雄市三民區九如二路78號1樓","179199.518","2504675.937","22.640830205582745","120.31116714592943"
"三民區","鼎山街５６６之３號","高雄市三民區灣復里鼎山街566之3號1樓","179869.28","2505903.966","22.651947774799925","120.3176282563823"
"三民區","正興路１２１號","高雄市三民區正興里正興路121號、123號1樓","180107.191","2505264.946","22.646186945967578","120.31997142183477"
"三民區","建國二路２８１號","高雄市三民區港東里建國二路281號1樓","178411.855","2504310.933","22.637500942032844","120.30352085530265"
"三民區","正義路３３７號","高雄市三民區寶民里正義路337號1樓","182401.64","2504027.29","22.63510337608387","120.34234753400794"
"三民區","鼎祥街７３號","高雄市三民區鼎祥街73號","179688.922","2507475.026","22.66612771429781","120.31580314616245"
"三民區","大順二路３２８號","高雄市三民區大順二路328號1樓","180704.135","2505279.941","22.64634688958379","120.32577847243365"
"三民區","裕誠路５６號","高雄市三民區鼎泰里裕誠路56號1樓","179588.474","2507227.005","22.663883791261743","120.31483686217182"
"三民區","十全一路１８３號","高雄市三民區十全一路183號1樓","178933.6","2505128.95","22.64490999562336","120.30855964123681"
"三民區","義華路１７１號","高雄市三民區寶國里義華路171號1樓","182195.541","2504867.918","22.642686469875322","120.34030628988286"
